Volcano Name,Country,Region,Latitude,Longitude,Elev,Type,Status
Bagana,Papua New Guinea,Bougainville-SW Paci,-6.14,155.2,1750,Lava cone,Historical
Bakenin,Russia,Kamchatka,53.91,158.07,2278,Stratovolcano,Tephrochronology
Baker,United States,US-Washington,48.79,-121.82,3285,Stratovolcano,Historical
Bal Haf. Harra of,Yemen,Arabia-S,14.05,48.33,233,Volcanic field,Holocene
Balatocan,Philippines,Mindanao-Philippines,8.8,124.92,2450,Compound volcano,Fumarolic
Balbi,Papua New Guinea,Bougainville-SW Paci,-5.83,154.98,2715,Stratovolcano,Holocene
Bald Knoll,United States,US-Utah,37.33,-112.41,2135,Cinder cone,Holocene
Baluan,United States,Admiralty Is-SW Paci,-2.57,147.28,254,Stratovolcano,Holocene
Baluran,Indonesia,Java,-7.85,114.37,1247,Stratovolcano,Holocene
Balut,Philippines,Mindanao-Philippines,5.4,125.38,852,Stratovolcano,Holocene
Bam,Papua New Guinea,New Guinea-NE of,-3.6,144.85,685,Stratovolcano,Historical
Bamus,Papua New Guinea,New Britain-SW Pac,-5.2,151.23,2248,Stratovolcano,Anthropology
Banahao,Philippines,Luzon-Philippines,14.07,121.48,2158,Complex volcano,Holocene
Banda Api,Pacific Ocean,Banda Sea,-4.53,129.87,640,Caldera,Historical
Bandai,Japan,Honshu-Japan,37.6,140.08,1819,Stratovolcano,Historical
Banua Wuhu,Indonesia,Sangihe Is-Indonesia,3.14,125.49,-5,Submarine volcano,Historical
Baransky,Russia,Kuril Is,45.1,148.02,1132,Stratovolcano,Historical
Barcena,Mexico,Mexico-Is,19.3,-110.82,332,Cinder cone,Historical
Bardarbunga,Iceland,Iceland-NE,64.63,-17.53,2000,Stratovolcano,Historical
Barkhatnaya Sopka,Russia,Kamchatka,52.82,158.27,870,Lava dome,Tephrochronology
Barren Island,India,Andaman Is-Indian O,12.29,93.88,354,Stratovolcano,Historical
Barrier. The,Kenya,Africa-E,2.32,36.57,1032,Shield volcano,Historical
Baru,Panama,Panama,8.8,-82.56,3477,Complex volcano,Historical
Barva,Costa Rica,Costa Rica,10.14,-84.1,2906,Complex volcano,Tephrochronology
Bas Dong Nai,Vietnam,SE Asia,10.8,107.2,392,Volcanic field,Holocene
Batur,Indonesia,Lesser Sunda Is,-8.24,115.38,1717,Caldera,Historical
Bayo. Cerro,Argentina,Chile-N,-25.42,-68.58,5401,Complex volcano,Holocene
Bayonnaise Rocks,Japan,Izu Is-Japan,31.92,139.92,10,Submarine volcano,Historical
Bayuda Volc Field,Sudan,Africa-N,18.33,32.75,0,Cinder cone,Radiocarbon
Bazman,Iran,Iran,28.07,60,3490,Stratovolcano,Fumarolic
Behm Canal-Rudyerd Bay,United States,Alaska-SE,55.32,-131.05,500,Cinder cone,Holocene
Belenkaya,Russia,Kamchatka,51.75,157.27,892,Stratovolcano,Holocene
Belirang-Beriti,Indonesia,Sumatra,-2.82,102.18,1958,Compound volcano,Fumarolic
Belknap,United States,US-Oregon,44.29,-121.84,2095,Shield volcano,Radiocarbon
Bely,Russia,Kamchatka,57.88,160.53,2080,Shield volcano,Holocene
Berlin,Antarctica,Antarctica,-76.05,-136,3478,Shield volcano,Fumarolic
Beru,Ethiopia,Africa-NE,8.95,39.75,1100,Volcanic field,Holocene
Berutarube,Russia,Kuril Is,44.47,146.93,1220,Stratovolcano,Holocene
Besar,Indonesia,Sumatra,-4.43,103.67,1899,Stratovolcano,Historical
Bezymianny,Russia,Kamchatka,55.98,160.59,2882,Stratovolcano,Historical
Bibinoi,Indonesia,Halmahera-Indonesia,-0.78,127.72,900,Stratovolcano,Holocene
Big Cave,United States,US-California,40.96,-121.37,1259,Shield volcano,Holocene
Bilate River Field,Ethiopia,Africa-NE,7.07,38.1,1700,Maar,Holocene
Biliran,Philippines,Philippines-C,11.52,124.53,1187,Compound volcano,Historical
Billy Mitchell,Papua New Guinea,Bougainville-SW Paci,-6.09,155.23,1544,Pyroclastic shield,Radiocarbon
Bir Borhut,Yemen,Arabia-S,15.55,50.63,0,Volcanic field,Holocene
Birk. Harrat al,Saudi Arabia,Arabia-W,18.37,41.63,381,Volcanic field,Holocene
Bishoftu Volc Field,Ethiopia,Africa-NE,8.78,38.98,1850,Fissure vent,Holocene
Biu Plateau,Nigeria,Africa-W,10.75,12,0,Volcanic field,Holocene
Black Peak,United States,Alaska Peninsula,56.53,-158.8,1032,Stratovolcano,Radiocarbon
Black Rock Desert,United States,US-Utah,38.97,-112.5,1800,Volcanic field,Radiocarbon
Blanca. Loma,Chile,Chile-C,-36.29,-71.01,2268,Stratovolcano,Holocene
Bliznets,Russia,Kamchatka,56.97,159.78,1244,Stratovolcano,Holocene
Bliznetsy,Russia,Kamchatka,57.35,161.37,265,Lava cone,Radiocarbon
Blue Lake Crater,United States,US-Oregon,44.42,-121.77,1230,Maar,Radiocarbon
Blup Blup,Papua New Guinea,New Guinea-NE of,-3.51,144.62,402,Stratovolcano,Holocene
Bobrof,United States,Aleutian Is,51.9,-177.43,738,Stratovolcano,Holocene
Bogatyr Ridge,Russia,Kuril Is,44.83,147.37,1634,Stratovolcano,Holocene
Bogoslof,United States,Aleutian Is,53.93,-168.03,101,Submarine volcano,Historical
Boisa,Papua New Guinea,New Guinea-NE of,-3.99,144.96,240,Stratovolcano,Holocene
Bola,Papua New Guinea,New Britain-SW Pac,-5.15,150.03,1155,Stratovolcano,Holocene
Bolshe-Bannaya,Russia,Kamchatka,52.9,157.78,1200,Lava dome,Holocene
Bolshoi Payalpan,Russia,Kamchatka,55.88,157.78,1906,Shield volcano,Holocene
Bolshoi Semiachik,Russia,Kamchatka,54.32,160.02,1720,Stratovolcano,Radiocarbon
Bolshoi-Kekuknaysky,Russia,Kamchatka,56.47,157.8,1401,Shield volcano,Holocene
Bombalai,Malaysia,Borneo,4.4,117.88,531,Pyroclastic cone,Holocene
Bona-Churchill,United States,Alaska-E,61.38,-141.75,5005,Stratovolcano,Radiocarbon
Boomerang Seamount,Antarctica,Indian O.-S,-37.72,77.83,-650,Submarine volcano,Historical
Bora-Bericcio Complex,Ethiopia,Africa-NE,8.27,39.03,2285,Pumice cone,Holocene
Borale Ale,Ethiopia,Africa-NE,13.73,40.6,668,Stratovolcano,Holocene
Borawli,Ethiopia,Africa-NE,13.3,40.98,812,Stratovolcano,Holocene
Borawli Complex,Ethiopia,Africa-NE,11.63,41.45,875,Lava dome,Holocene
Boset-Bericha,Ethiopia,Africa-NE,8.56,39.48,2447,Stratovolcano,Holocene
Bouvet,Bouvet I.,Atlantic-S,-54.42,3.35,780,Shield volcano,Magnetism
Bratan,Indonesia,Lesser Sunda Is,-8.28,115.13,2276,Caldera,Holocene
Brava,Cape Verde,Cape Verde Is,14.85,-24.72,900,Stratovolcano,Holocene
Bravo. Cerro,Colombia,Colombia,5.09,-75.3,4000,Stratovolcano,Radiocarbon
Bravo. Cerro,Colombia,Colombia,5.09,-75.3,4000,Stratovolcano,Radiocarbon
Brennisteinsfjoll,Iceland,Iceland-SW,63.92,-21.83,626,Crater rows,Historical
Bridge River Cones,Canada,Canada,50.8,-123.4,2500,Volcanic field,Holocene
Bridgeman Island,Antarctica,Antarctica,-62.05,-56.75,240,Stratovolcano,Uncertain
Brimstone Island,New Zealand,Kermadec Is,-30.23,-178.92,-2000,Submarine volcano,Uncertain
Bristol Island,Antarctica,Antarctica,-59.03,-26.58,1100,Stratovolcano,Historical
Brothers,New Zealand,New Zealand,-34.88,179.08,-1350,Submarine volcano,Fumarolic
Brushy Butte,United States,US-California,41.18,-121.44,1174,Shield volcano,Holocene
Buckle Island,Antarctica,Antarctica,-66.8,163.25,1239,Stratovolcano,Historical
Bud Dajo,Philippines,Sulu Is-Philippines,5.95,121.07,440,Pyroclastic cone,Historical
Bufumbira,Uganda,Africa-C,-1.23,29.72,2440,Cinder cone,Holocene
Buldir,United States,Aleutian Is,52.37,175.98,656,Stratovolcano,Holocene
Bulusan,Philippines,Luzon-Philippines,12.77,124.05,1565,Stratovolcano,Historical
Bunyaruguru Field,Uganda,Africa-C,-0.2,30.08,1554,Explosion crater,Holocene
Burney. Monte,Chile,Chile-S,-52.33,-73.4,1758,Stratovolcano,Historical
Bus-Obo,Mongolia,Mongolia,47.12,109.08,1162,Cinder cone,Holocene
Butajiri-Silti Field,Ethiopia,Africa-NE,8.05,38.35,2281,Fissure vent,Holocene
Buzzard Creek,United States,Alaska-E,64.07,-148.42,830,Tuff rings,Radiocarbon
Cabalian,Philippines,Philippines-C,10.29,125.22,945,Stratovolcano,Holocene
Caburga,Chile,Chile-C,-39.2,-71.83,995,Cinder cone,Tephrochronology
Cagua,Philippines,Luzon-Philippines,18.22,122.12,1133,Stratovolcano,Holocene
Calabozos,Chile,Chile-C,-35.56,-70.5,3508,Caldera,Holocene
Calatrava Volc Field,Spain,Spain,38.87,-4.02,1117,Pyroclastic cones,Radiocarbon
Calayo,Philippines,Mindanao-Philippines,7.88,125.07,646,Tuff cone,Historical
Calbuco,Chile,Chile-S,-41.33,-72.61,2003,Stratovolcano,Historical
Callaqui,Chile,Chile-C,-37.92,-71.45,3164,Stratovolcano,Historical
Cameroon. Mt.,Cameroon,Africa-W,4.2,9.17,4095,Stratovolcano,Historical
Camiguin,Philippines,Mindanao-Philippines,9.2,124.67,1332,Stratovolcano,Historical
Camiguin de Babuyanes,Philippines,Luzon-N of,18.83,121.86,712,Stratovolcano,Historical
Campi Flegrei,Italy,Italy,40.83,14.14,458,Caldera,Historical
Campi Flegrei Mar Sicilia,Italy,Italy,37.1,12.7,-8,Submarine volcanoes,Historical
Candlemas Island,Antarctica,Antarctica,-57.08,-26.67,550,Stratovolcano,Historical
Carlisle,United States,Aleutian Is,52.9,-170.05,1620,Stratovolcano,Historical
Carran-Los Venados,Chile,Chile-C,-40.35,-72.07,1114,Pyroclastic cone,Historical
Carrizozo,United States,US-New Mexico,33.78,-105.93,1731,Cinder cone,Holocene
Casiri. Nevados,Peru,Peru,-17.47,-69.82,5650,Stratovolcano,Holocene
Cayambe,Ecuador,Ecuador,0.03,-77.99,5790,Compound volcano,Historical
Cayambe,Ecuador,Ecuador,0.03,-77.99,5790,Compound volcano,Historical
Cayute-La Vigueria,Chile,Chile-S,-41.25,-72.27,506,Pyroclastic cone,Holocene
Cayutué-La Viguería,Chile,Chile-S,-41.25,-72.27,506,Pyroclastic cones,Tephrochronology
Ceboruco,Mexico,Mexico,21.13,-104.51,2280,Stratovolcano,Historical
Cendres. Ile des,Vietnam,SE Asia,10.16,109.01,-20,Submarine volcanoes,Historical
Central Island,Kenya,Africa-E,3.5,36.04,550,Stratovolcano,Holocene
Cereme,Indonesia,Java,-6.89,108.4,3078,Stratovolcano,Historical
Ch'uga-ryong,North Korea,Korea,38.33,127.33,452,Shield volcano,Holocene
Chacana,Ecuador,Ecuador,-0.38,-78.25,4643,Caldera,Historical
Chachani. Nevado,Peru,Peru,-16.19,-71.53,6057,Stratovolcano,Holocene
Chachani. Nevado,Peru,Peru,-16.19,-71.53,6057,Stratovolcano,Holocene?
Chagulak,United States,Aleutian Is,52.57,-171.13,1142,Stratovolcano,Holocene
Chaine des Puys,France,France,45.78,2.97,1464,Cinder cone,Radiocarbon
Chaiten,Chile,Chile-S,-42.83,-72.65,962,Caldera,Holocene
Changbaishan,North Korea,China-E,41.98,128.08,2744,Stratovolcano,Historical
Chapulul. Cerro,Chile,Chile-C,-38.37,-71.08,2143,Cinder cone,Holocene
Cherny,Russia,Kamchatka,56.82,159.67,1778,Stratovolcano,Holocene
Cherpuk Group,Russia,Kamchatka,55.55,157.47,1868,Pyroclastic cones,Radiocarbon
Chichinautzin,Mexico,Mexico,19.08,-99.13,3930,Volcanic field,Radiocarbon
Chichon. El,Mexico,Mexico,17.36,-93.23,1150,Tuff cone,Historical
Chiginagak,United States,Alaska Peninsula,57.13,-157,2075,Stratovolcano,Historical
Chikurachki,Russia,Kuril Is,50.33,155.46,1816,Stratovolcano,Historical
Chiliques,Chile,Chile-N,-23.58,-67.7,5778,Stratovolcano,Holocene?
Chiliques,Chile,Chile-N,-23.58,-67.7,5778,Stratovolcano,Holocene
Chillan. Nevados de,Chile,Chile-C,-36.86,-71.38,3212,Stratovolcano,Historical
Chimborazo,Ecuador,Ecuador,-1.46,-78.82,6310,Stratovolcano,Radiocarbon
Chinameca,El Salvador,El Salvador,13.48,-88.32,1228,Stratovolcano,Holocene
Chingo Volc Field,Guatemala,Guatemala,14.12,-89.73,1775,Stratovolcano,Holocene
Chiquimula Volc Field,Guatemala,Guatemala,14.83,-89.55,1192,Cinder cone,Holocene
Chiracha,Ethiopia,Africa-NE,6.65,38.12,1650,Stratovolcano,Holocene
Chirinkotan,Russia,Kuril Is,48.98,153.48,724,Stratovolcano,Historical
Chirip,Russia,Kuril Is,45.38,147.92,1589,Stratovolcano,Historical
Chirpoi,Russia,Kuril Is,46.53,150.88,742,Caldera,Historical
Chokai,Japan,Honshu-Japan,39.08,140.03,2237,Stratovolcano,Historical
Chyulu Hills,Kenya,Africa-E,-2.68,37.88,2188,Volcanic field,Anthropology
Ciguatepe. Cerro El,Nicaragua,Nicaragua,12.53,-86.14,603,Stratovolcano,Holocene
Cinnamon Butte,United States,US-Oregon,43.24,-122.11,1956,Cinder cone,Holocene
Cinotepec. Cerro,El Salvador,El Salvador,14.02,-89.25,665,Volcanic field,Holocene
Clark,New Zealand,New Zealand,-36.45,177.84,-860,Submarine volcano,Fumarolic
Clear Lake,United States,US-California,38.97,-122.77,1439,Volcanic field,Holocene
Cleft Segment,Pacific Ocean,Pacific-NE,44.83,-130.3,-2140,Submarine volcano,Historical
Cleveland,United States,Aleutian Is,52.82,-169.95,1730,Stratovolcano,Historical
Coatepeque Caldera,El Salvador,El Salvador,13.87,-89.55,746,Caldera,Holocene
Cochons. Ile Aux,Indian Ocean,Indian O-S,-46.1,50.23,775,Stratovolcano,Holocene
Cofre de Perote,Mexico,Mexico,19.49,-97.15,4282,Shield volcano,Radiocarbon
Colachi,Chile,Chile-N,-23.23,-67.65,5631,Stratovolcano,Holocene
Coleman Seamount,Solomon Is.,Solomon Is-SW Pacifi,-8.83,157.17,0,Submarine volcano,Holocene
Colima,Mexico,Mexico,19.51,-103.62,3850,Stratovolcano,Historical
Colluma. Cerro,Bolivia,Bolivia,-18.5,-68.07,3876,Maar,Holocene
Colo [Una Una],Indonesia,Sulawesi-Indonesia,-0.17,121.61,507,Stratovolcano,Historical
Comondu-La Purisima,Mexico,Mexico,26,-111.92,780,Volcanic field,Holocene
Concepcion,Nicaragua,Nicaragua,11.54,-85.62,1700,Stratovolcano,Historical
Conchagua,El Salvador,El Salvador,13.28,-87.85,1250,Stratovolcano,Uncertain
Conchaguita,El Salvador,El Salvador,13.22,-87.77,550,Stratovolcano,Historical
Cook. Isla,Chile,Chile-S,-54.95,-70.27,150,Lava dome,Holocene
Copahue,Chile,Chile-C,-37.85,-71.17,2965,Stratovolcano,Historical
Copiapo,Chile,Chile-N,-27.3,-69.13,6052,Stratovolcano,Uncertain
Corbetti Caldera,Ethiopia,Africa-NE,7.18,38.43,2320,Caldera,Holocene
Corcovado,Chile,Chile-S,-43.18,-72.8,2300,Stratovolcano,Historical
Cordon Chalviri,Chile,Chile-N,-23.85,-67.62,5623,Stratovolcano,Holocene
Cordon de Puntas Negras,Chile,Chile-N,-23.75,-67.53,5852,Stratovolcano,Holocene
Cordon del Azufre,Argentina,Chile-N,-25.33,-68.52,5463,Complex volcano,Holocene
Coronado,Mexico,Mexico,29.08,-113.51,440,Stratovolcano,Fumarolic
Coropuna,Peru,Peru,-15.52,-72.65,6377,Stratovolcano,Holocene
Corvo,Portugal,Azores,39.67,-31.07,715,Stratovolcano,Holocene
Cosiguina,Nicaragua,Nicaragua,12.98,-87.57,872,Stratovolcano,Historical
Coso Volc Field,United States,US-California,36.03,-117.82,2400,Lava dome,Holocene
Cotopaxi,Ecuador,Ecuador,-0.68,-78.44,5911,Stratovolcano,Historical
Crater Basalt Volc Field,Argentina,Chile-S/Argentina,-42.02,-70.18,1359,Cinder cones,Holocene
Crater Lake,United States,US-Oregon,42.93,-122.12,2487,Caldera,Radiocarbon
Crater Mountain,Papua New Guinea,New Guinea,-6.58,145.08,3233,Stratovolcano,Holocene
Craters of the Moon,United States,US-Idaho,43.42,-113.5,2005,Cinder cone,Radiocarbon
Crow Lagoon,Canada,Canada,54.7,-130.23,335,Pyroclastic cone,Holocene
Cu-Lao Re Group,Vietnam,SE Asia,15.38,109.12,181,Volcanic field,Holocene
Cuicocha,Ecuador,Ecuador,0.31,-78.36,3246,Caldera,Radiocarbon
Cuilapa-Barbarena,Guatemala,Guatemala,14.33,-90.4,1454,Volcanic field,Holocene
Cuilapa-Barbarena,Guatemala,Guatemala,14.33,-90.4,1454,Volcanic field,Holocene
Cumbal,Colombia,Colombia,0.98,-77.88,4764,Stratovolcano,Historical
Cumbres. Las,Mexico,Mexico,19.15,-97.27,3940,Stratovolcano,Radiocarbon
Curacoa,Tonga,Tonga-SW Pacific,-15.62,-173.67,-33,Submarine volcano,Historical
Curacoa,Tonga,Tonga-SW Pacific,-15.62,-173.67,-33,Submarine volcano,Historical
Curtis Island,New Zealand,Kermadec Is,-30.54,-178.56,137,Submarine volcano,Uncertain
Cóndor. Cerro el,Argentina,Argentina,-26.62,-68.35,6532,Stratovolcano,Holocene
Dabbahu,Ethiopia,Africa-NE,12.6,40.48,1442,Stratovolcano,Holocene
Dabbayra,Ethiopia,Africa-NE,12.38,40.07,1302,Shield volcano,Holocene
Dacht-I-Navar Group,Afghanistan,Afghanistan,33.95,67.92,3800,Lava dome,Holocene
Daikoku,Japan,Volcano Is-Japan,21.32,144.19,-323,Submarine volcano,Fumarolic
Daisetsu,Japan,Hokkaido-Japan,43.68,142.88,2290,Stratovolcano,Tephrochronology
Dakataua,Papua New Guinea,New Britain-SW Pac,-5.06,150.11,400,Caldera,Anthropology
Dalaffilla,Ethiopia,Africa-NE,13.79,40.55,613,Stratovolcano,Holocene
Dallol,Ethiopia,Africa-NE,14.24,40.3,-48,Explosion crater,Historical
Dama Ali,Ethiopia,Africa-NE,11.28,41.63,1068,Shield volcano,Historical
